id_municipio,cep,quantidade_vinculos_ativos,ano
2211001,64000070,1,2023
2211001,64002483,1,2023
2211001,64001380,1,2023
2211001,64038433,1,2023
2211001,64049300,1,2023
2211001,64002790,1,2023
2211001,64049250,1,2023
2211001,64048065,1,2023
2211001,64017810,1,2023
2211001,64003060,1,2023
2211001,64078860,1,2023
2211001,64018500,1,2023
2211001,64064200,1,2023
2211001,64000330,1,2023
2211001,64003700,1,2023
2211001,64000400,1,2023
2211001,64032530,1,2023
2211001,64078095,1,2023
2211001,64053120,1,2023
2211001,64082310,1,2023
2211001,64004560,1,2023
2211001,64014220,1,2023
2211001,64090095,1,2023
2211001,64000090,1,2023
2211001,64017650,1,2023
2211001,64020720,1,2023
2211001,64077278,1,2023
2211001,64027450,1,2023
